2014-01-01
sales, 70994.81
staff payments, 74353.0
staff reversals, 0.0
Collective Funds Contributions,9735.25
2014-02-01
sales, 70398.35
staff payments, 77434.05
staff reversals, 0.0
Collective Funds Contributions,16425.23
Collective Funds Reversals,-1000.0
TEAM: Craftworks Contributions,751.03
TEAM: Freewheeler Contributions,33.76
TEAM: Lean Websites Contributions,62.5
TEAM: Lean Websites Reversals,-4000.0
The Purposive Collective Team Development Contributions,9.19
2014-03-01
sales, 96309.49
staff payments, 94933.44
staff reversals, -18976.44
Collective Funds Contributions,13394.35
Collective Funds Reversals,-13947.99
TEAM: Craftworks Contributions,1257.79
TEAM: Craftworks Reversals,-1620.18
TEAM: Freewheeler Contributions,355.6
TEAM: Lean Hosting Contributions,8.52
TEAM: Lean Hosting Reversals,-437.0
TEAM: Lean Websites Contributions,205.77
TEAM: Purposive Contributions,80.14
2014-04-01
sales, 145575.74
staff payments, 126959.96
staff reversals, -2500.0
Collective Funds Contributions,16463.88
Collective Funds Reversals,-551.26
TEAM: Craftworks Contributions,1685.68
TEAM: Freewheeler Contributions,402.99
TEAM: Freewheeler Reversals,-78.13
TEAM: Lean Hosting Contributions,4.38
TEAM: Lean Hosting Reversals,-20.63
TEAM: Lean Websites Contributions,74.07
The Purposive Collective Team Development Contributions,184.91
2014-05-01
sales, 98672.86
staff payments, 105853.85
staff reversals, -20785.28
Collective Funds Contributions,13814.54
Collective Funds Reversals,-8216.93
TEAM: Craftworks Contributions,758.8
TEAM: Craftworks Reversals,-1173.85
TEAM: Freewheeler Contributions,219.16
TEAM: Lean Hosting Contributions,1.6
TEAM: Lean Hosting Reversals,-25.0
TEAM: Lean Websites Contributions,31.38
The Purposive Collective Team Development Contributions,188.04
2014-06-01
sales, 140885.87
staff payments, 122234.58
staff reversals, 0.0
Collective Funds Contributions,17173.11
TEAM: Craftworks Contributions,1173.56
TEAM: Craftworks Reversals,-975.0
TEAM: Freewheeler Contributions,822.66
TEAM: Lean Hosting Contributions,5.87
TEAM: Lean Websites Contributions,261.35
TEAM: Noshi Creative Contributions,6.2
TEAM: Purposive Contributions,16.19
The Purposive Collective Team Development Contributions,167.51
2014-07-01
sales, 154599.4
staff payments, 136453.17
staff reversals, 0.0
Collective Funds Contributions,15878.08
TEAM: Craftworks Contributions,1597.99
TEAM: Freewheeler Contributions,343.81
TEAM: Lean Hosting Contributions,34.26
TEAM: Lean Websites Contributions,279.09
TEAM: Noshi Creative Contributions,213.2
2014-08-01
sales, 134020.56
staff payments, 126500.18
staff reversals, -8384.63
Collective Funds Contributions,14732.1
Collective Funds Reversals,-815.17
TEAM: Craftworks Contributions,1366.7
TEAM: Craftworks Reversals,-116.45
TEAM: Freewheeler Contributions,197.02
TEAM: Lean Hosting Contributions,3.86
TEAM: Lean Websites Contributions,475.41
TEAM: Noshi Creative Contributions,61.64
2014-09-01
sales, 127397.91
staff payments, 114442.97
staff reversals, -822.7
Collective Funds Contributions,12137.28
Collective Funds Reversals,-40.09
TEAM: Craftworks Contributions,1322.37
TEAM: Craftworks Reversals,-5.42
TEAM: Freewheeler Contributions,148.28
TEAM: Lean Hosting Contributions,6.04
TEAM: Lean Hosting Reversals,-47.81
TEAM: Lean Websites Contributions,126.0
TEAM: Noshi Creative Contributions,26.72
TEAM: Purposive Contributions,104.53
2014-10-01
sales, 168380.04
staff payments, 166727.92
staff reversals, -17100.0
Collective Funds Contributions,17197.05
Collective Funds Reversals,-787.76
TEAM: Craftworks Contributions,2131.17
TEAM: Craftworks Reversals,-112.5
TEAM: Freewheeler Contributions,106.3
TEAM: Lean Hosting Contributions,5.68
TEAM: Lean Websites Contributions,119.97
TEAM: Lean Websites Reversals,-1.24
TEAM: Noshi Creative Contributions,84.89
TEAM: Purposive Contributions,8.75
2014-11-01
sales, 171036.55
staff payments, 149673.07
staff reversals, 0.0
Collective Funds Contributions,18693.12
Craftworks Devops Reversals,-175.0
TEAM: Craftworks Contributions,2214.58
TEAM: Freewheeler Contributions,179.18
TEAM: Iguanas Contributions,18.26
TEAM: Lean Hosting Contributions,6.3
TEAM: Lean Websites Contributions,33.94
TEAM: Noshi Creative Contributions,21.43
TEAM: Purposive Contributions,196.77
2014-12-01
sales, 24288.66
staff payments, 23224.99
staff reversals, 0.0
Collective Funds Contributions,1204.72
TEAM: Craftworks Contributions,56.14
TEAM: Freewheeler Contributions,32.54
TEAM: Iguanas Contributions,5.25
TEAM: Lean Hosting Contributions,1.71
TEAM: Lean Websites Contributions,37.31
total sales, 1402560.24
total payments, 1318791.18
total contributions, 186452.31
total reversals, -102716.46
